LECROYWaveRunner„U,21892,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 15:24:40,0                 
Time,Ampl
-9.488417e-08,9.11833e-05
-9.478417e-08,0.000377873
-9.468417e-08,0.000621755
-9.458417e-08,0.000310417
-9.448417e-08,0.00015864
-9.438417e-08,0.000161234
-9.428417e-08,-0.00024091
-9.418417e-08,0.000100264
-9.408417e-08,0.000415493
-9.398417e-08,-0.000239613
-9.388417e-08,-0.000218857
-9.378417e-08,0.000171612
-9.368417e-08,7.95082e-05
-9.358417e-08,0.000341551
-9.348417e-08,0.000787801
-9.338417e-08,0.000643808
-9.328417e-08,0.000372684
-9.318417e-08,0.000411602
-9.308417e-08,0.000293553
-9.298417e-08,6.2644e-05
-9.288417e-08,-6.96745e-05
-9.278417e-08,-0.000379715
-9.268417e-08,-0.0004809
-9.258417e-08,-0.000237018
-9.248417e-08,-7.87551e-05
-9.238417e-08,7.3022e-05
-9.228417e-08,0.000114534
-9.218417e-08,0.00020534
-9.208417e-08,0.000157343
-9.198417e-08,2.63213e-05
-9.188417e-08,0.00010675
-9.178417e-08,-5.28103e-05
-9.168417e-08,-0.000266855
-9.158417e-08,-0.000537978
-9.148417e-08,-0.000644352
-9.138417e-08,-0.000406957
-9.128417e-08,-0.000379715
-9.118417e-08,-0.000161779
-9.108417e-08,0.000284472
-9.098417e-08,0.000289661
-9.088417e-08,0.000353226
-9.078417e-08,0.000472572
-9.068417e-08,0.000394738
-9.058417e-08,2.97099e-06
-9.048417e-08,-0.000470522
-9.038417e-08,-0.000436793
-9.028417e-08,-0.000657324
-9.018417e-08,-0.00084283
-9.008417e-08,-0.000562626
-8.998417e-08,-0.000545762
-8.988417e-08,-0.000469224
-8.978417e-08,-0.000222749
-8.968417e-08,-0.000229235
-8.958417e-08,9.45719e-06
-8.948417e-08,0.000311714
-8.938417e-08,0.000110642
-8.928417e-08,-0.000246099
-8.918417e-08,-0.000434199
-8.908417e-08,-0.000421227
-8.898417e-08,-0.000403065
-8.888417e-08,-0.00014232
-8.878417e-08,3.76511e-07
-8.868417e-08,-0.000121564
-8.858417e-08,0.000201449
-8.848417e-08,0.000198854
-8.838417e-08,-3.51521e-06
-8.828417e-08,0.000115831
-8.818417e-08,0.000223502
-8.808417e-08,0.00028058
-8.798417e-08,-0.000176048
-8.788417e-08,-0.00050425
-8.778417e-08,-0.000251288
-8.768417e-08,7.43192e-05
-8.758417e-08,0.0002715
-8.748417e-08,0.000537434
-8.738417e-08,0.000650294
-8.728417e-08,0.000686617
-8.718417e-08,0.0010706
-8.708417e-08,0.000869528
-8.698417e-08,0.000488139
-8.688417e-08,0.000320795
-8.678417e-08,-0.000229235
-8.668417e-08,-0.000342095
-8.658417e-08,-0.000186426
-8.648417e-08,-0.000404362
-8.638417e-08,-0.000456252
-8.628417e-08,-0.000247396
-8.618417e-08,-7.74579e-05
-8.608417e-08,0.000213124
-8.598417e-08,0.000593215
-8.588417e-08,0.000626944
-8.578417e-08,0.000411602
-8.568417e-08,0.000113236
-8.558417e-08,-0.000249991
-8.548417e-08,-0.000294097
-8.538417e-08,-0.000352473
-8.528417e-08,-0.000189021
-8.518417e-08,0.000156045
-8.508417e-08,-0.000329123
-8.498417e-08,-0.000275936
-8.488417e-08,0.000350631
-8.478417e-08,0.00013529
-8.468417e-08,0.000141776
-8.458417e-08,0.000197557
-8.448417e-08,1.33489e-05
-8.438417e-08,0.000241663
-8.428417e-08,1.98351e-05
-8.418417e-08,-5.28103e-05
-8.408417e-08,0.000175504
-8.398417e-08,-8.00524e-05
-8.388417e-08,0.000287067
-8.378417e-08,0.00084488
-8.368417e-08,0.000617863
-8.358417e-08,0.000514084
-8.348417e-08,0.000760559
-8.338417e-08,0.000778721
-8.328417e-08,0.000724237
-8.318417e-08,0.000620457
-8.308417e-08,0.000128803
-8.298417e-08,-0.000294097
-8.288417e-08,-0.000268152
-8.278417e-08,-0.000221452
-8.268417e-08,-0.000122861
-8.258417e-08,9.89668e-05
-8.248417e-08,0.000244258
-8.238417e-08,0.000686617
-8.228417e-08,0.00113287
-8.218417e-08,0.000964226
-8.208417e-08,0.000571162
-8.198417e-08,0.000261122
-8.188417e-08,-7.09717e-05
-8.178417e-08,-0.000270747
-8.168417e-08,-0.000392687
-8.158417e-08,-0.000441982
-8.148417e-08,-0.000260369
-8.138417e-08,-7.09717e-05
-8.128417e-08,-6.31883e-05
-8.118417e-08,4.31854e-05
-8.108417e-08,0.000267608
-8.098417e-08,-6.10969e-06
-8.088417e-08,-0.000317447
-8.078417e-08,-0.000238316
-8.068417e-08,-0.000373229
-8.058417e-08,-0.000465333
-8.048417e-08,-0.000387498
-8.038417e-08,-0.000418632
-8.028417e-08,-0.000417335
-8.018417e-08,-0.000684566
-8.008417e-08,-0.000688458
-7.998417e-08,-8.39441e-05
-7.988417e-08,1.07544e-05
-7.978417e-08,-0.000282422
-7.968417e-08,-0.00012805
-7.958417e-08,-0.000295394
-7.948417e-08,-0.000662513
-7.938417e-08,-0.000296692
-7.928417e-08,-0.000287611
-7.918417e-08,-0.000509439
-7.908417e-08,-0.00024091
-7.898417e-08,-0.000205885
-7.888417e-08,-0.000417335
