LECROYWaveRunner„U,21892,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 12:36:08,0                 
Time,Ampl
-0.0252,0
-0.0248,0
-0.0244,0
-0.024,0
-0.0236,0
-0.0232,0
-0.0228,0
-0.0224,0
-0.022,0
-0.0216,0
-0.0212,0
-0.0208,0
-0.0204,0
-0.02,0
-0.0196,0
-0.0192,0
-0.0188,0
-0.0184,0
-0.018,0
-0.0176,0
-0.0172,0
-0.0168,0
-0.0164,0
-0.016,0
-0.0156,0
-0.0152,0
-0.0148,0
-0.0144,0
-0.014,0
-0.0136,0
-0.0132,0
-0.0128,0
-0.0124,0
-0.012,0
-0.0116,0
-0.0112,0
-0.0108,0
-0.0104,0
-0.01,0
-0.0096,0
-0.0092,0
-0.0088,0
-0.0084,0
-0.008,0
-0.0076,0
-0.0072,0
-0.0068,0
-0.0064,0
-0.006,0
-0.0056,0
-0.0052,0
-0.0048,0
-0.0044,0
-0.004,0
-0.0036,0
-0.0032,0
-0.0028,0
-0.0024,0
-0.002,0
-0.0016,0
-0.0012,0
-0.0008,0
-0.0004,0
1.29e-17,0
0.0004,0
0.0008,0
0.0012,0
0.0016,2
0.002,7
0.0024,8
0.0028,4
0.0032,1
0.0036,1
0.004,3
0.0044,5
0.0048,1
0.0052,2
0.0056,11
0.006,7
0.0064,12
0.0068,21
0.0072,27
0.0076,38
0.008,48
0.0084,42
0.0088,49
0.0092,49
0.0096,67
0.01,75
0.0104,59
0.0108,61
0.0112,65
0.0116,65
0.012,74
0.0124,57
0.0128,54
0.0132,45
0.0136,40
0.014,29
0.0144,44
0.0148,41
0.0152,43
0.0156,36
0.016,23
0.0164,15
0.0168,20
0.0172,17
0.0176,16
0.018,12
0.0184,12
0.0188,13
0.0192,17
0.0196,7
0.02,6
0.0204,9
0.0208,7
0.0212,5
0.0216,5
0.022,8
0.0224,4
0.0228,10
0.0232,6
0.0236,3
0.024,4
0.0244,9
0.0248,5
0.0252,5
0.0256,4
0.026,1
0.0264,3
0.0268,0
0.0272,0
0.0276,1
0.028,2
0.0284,2
