LECROYWaveRunner„U,21892,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 15:24:40,0                 
Time,Ampl
-9.489017e-08,-0.000143171
-9.479017e-08,-0.000550504
-9.469017e-08,-0.00066077
-9.459017e-08,-0.000688012
-9.449017e-08,-0.000663364
-9.439017e-08,-0.000809952
-9.429017e-08,-0.000878706
-9.419017e-08,-0.000677634
-9.409017e-08,-0.000497318
-9.399017e-08,-0.000349432
-9.389017e-08,-0.000174305
-9.379017e-08,-0.00014836
-9.369017e-08,-0.000464887
-9.359017e-08,-0.000441536
-9.349017e-08,-0.000119821
-9.339017e-08,-0.000301434
-9.329017e-08,-0.000400024
-9.319017e-08,-0.000444131
-9.309017e-08,-0.000553099
-9.299017e-08,-0.000488237
-9.289017e-08,-0.000366296
-9.279017e-08,-0.000166521
-9.269017e-08,-0.000149657
-9.259017e-08,-0.000191169
-9.249017e-08,-0.000304029
-9.239017e-08,-0.000518073
-9.229017e-08,-0.000664662
-9.219017e-08,-0.000830708
-9.209017e-08,-0.00100194
-9.199017e-08,-0.0011641
-9.189017e-08,-0.00105643
-9.179017e-08,-0.000671148
-9.169017e-08,-0.000477859
-9.159017e-08,-0.000227492
-9.149017e-08,-0.000100362
-9.139017e-08,-0.00020933
-9.129017e-08,-0.000305326
-9.119017e-08,-0.000372782
-9.109017e-08,-0.000187277
-9.099017e-08,-0.000410402
-9.089017e-08,-0.00060888
-9.079017e-08,-0.000595908
-9.069017e-08,-0.000716551
-9.059017e-08,-0.000521965
-9.049017e-08,-0.000597205
-9.039017e-08,-0.000601097
-9.029017e-08,-0.000436347
-9.019017e-08,-0.000389647
-9.009017e-08,-2.5122e-05
-8.999017e-08,-0.000214519
-8.989017e-08,-0.000599799
-8.979017e-08,-0.000490831
-8.969017e-08,-0.000489534
-8.959017e-08,-0.000658175
-8.949017e-08,-0.000979891
-8.939017e-08,-0.000787899
-8.929017e-08,-0.000279381
-8.919017e-08,-0.000448022
-8.909017e-08,-0.000580341
-8.899017e-08,-5.23641e-05
-8.889017e-08,0.000242109
-8.879017e-08,-5.66344e-06
-8.869017e-08,-4.97696e-05
-8.859017e-08,2.28758e-05
-8.849017e-08,-0.000156143
-8.839017e-08,-0.000489534
-8.829017e-08,-0.000560882
-8.819017e-08,-0.000332568
-8.809017e-08,-0.000309218
-8.799017e-08,-0.000499912
-8.789017e-08,-0.000259923
-8.779017e-08,0.000203192
-8.769017e-08,-8.34979e-05
-8.759017e-08,-0.000287165
-8.749017e-08,0.000160383
-8.739017e-08,0.00022784
-8.729017e-08,-0.000166521
-8.719017e-08,-0.00037408
-8.709017e-08,-0.000475264
-8.699017e-08,-0.000676337
-8.689017e-08,-0.000558288
-8.679017e-08,-0.00030792
-8.669017e-08,-0.000464887
-8.659017e-08,-0.000423375
-8.649017e-08,0.000144816
-8.639017e-08,0.0005288
-8.629017e-08,0.000509341
-8.619017e-08,0.000192814
