LECROYWaveRunner„U,21892,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 15:24:40,0                 
Time,Ampl
-9.489317e-08,-0.000337476
-9.479317e-08,-7.28385e-05
-9.469317e-08,-0.000233696
-9.459317e-08,-0.000330989
-9.449317e-08,-0.000244074
-9.439317e-08,-0.000556709
-9.429317e-08,-0.00055152
-9.419317e-08,-7.80274e-05
-9.409317e-08,-5.85688e-05
-9.399317e-08,-0.000150673
-9.389317e-08,-0.000228507
-9.379317e-08,-0.000176618
-9.369317e-08,0.00022423
-9.359317e-08,7.59041e-06
-9.349317e-08,-0.00050482
-9.339317e-08,-0.000464605
-9.329317e-08,-0.000406229
-9.319317e-08,-0.000458119
-9.309317e-08,-0.000436066
-9.299317e-08,-0.000162348
-9.289317e-08,0.00038379
-9.279317e-08,0.000333198
-9.269317e-08,-0.000145484
-9.259317e-08,-0.000150673
-9.249317e-08,-0.000206454
-9.239317e-08,-0.000330989
-9.229317e-08,-0.000113053
-9.219317e-08,-0.000343962
-9.209317e-08,-0.000546331
-9.199317e-08,2.31573e-05
-9.189317e-08,0.000171043
-9.179317e-08,-1.18682e-05
-9.169317e-08,-5.98661e-05
-9.159317e-08,-0.000281694
-9.149317e-08,-0.000164943
-9.139317e-08,-0.000183104
-9.129317e-08,-0.000481469
-9.119317e-08,-0.00031672
-9.109317e-08,-7.41357e-05
-9.099317e-08,-0.000237588
-9.089317e-08,-0.000464605
-9.079317e-08,-0.000314125
-9.069317e-08,5.68855e-05
-9.059317e-08,0.000110072
-9.049317e-08,2.31573e-05
-9.039317e-08,0.000207365
-9.029317e-08,0.000265741
-9.019317e-08,6.07773e-05
-9.009317e-08,-0.000113053
-8.999317e-08,-0.000126025
-8.989317e-08,-9.48916e-05
-8.979317e-08,-0.000113053
-8.969317e-08,2.96435e-05
-8.959317e-08,9.96945e-05
-8.949317e-08,-0.000101378
-8.939317e-08,-5.38199e-06
-8.929317e-08,0.000259255
-8.919317e-08,9.83972e-05
-8.909317e-08,-0.000275208
-8.899317e-08,-0.000185698
-8.889317e-08,0.000379898
-8.879317e-08,0.000615996
-8.869317e-08,0.000399357
-8.859317e-08,-6.5055e-05
-8.849317e-08,-0.000201265
-8.839317e-08,-5.46771e-05
-8.829317e-08,-0.000395851
-8.819317e-08,-0.000249263
-8.809317e-08,2.05628e-05
-8.799317e-08,-0.000298558
